"job_id","skill"
"711822700","CAD"
"711822700","Data Science"
"711822700","Editing"
"711822700","Communication"
"711822700","Data modeling"
"711822700","Statistical analysis"
"707624900","Research"
"707624900","Mathematics"
"707624900","Physics"
"707624900","Data analysis"
"707624900","ANN"
"707624900","C++"
"707624900",".NET"
"707624900","CAD"
"707624900","Electronics"
"707624900","Calculus"
"711373200","Engineering"
"711373200","Computer Science"
"711373200","Classification"
"711373200","Data Mining"
"711373200","C++"
"711373200","Clustering"
"711373200",".NET"
"711373200","Data Science"
"711373200","Neural networks"
"711373200","Statistical analysis"
"706077900","Research"
"706077900","Statistics"
"706077900","Git"
"706077900","SAS"
"706077900","ANN"
"706077900","C++"
"706077900","Lua"
"706077900","CAD"
"706077900","Data Science"
"706077900","Writing"
"706077900","Law"
"706077900","Dance"
"704118800","Research"
"704118800","Statistics"
"704118800","SAS"
"704118800","ANN"
"704118800","C++"
"704118800","Lua"
"704118800","CAD"
"704118800","Survey data"
"704118800","Writing"
"704118800","Law"
"704118800","Dance"
"708058600","Engineering"
"708058600","Research"
"708058600","Data visualization"
"708058600","Biology"
"708058600","Chemistry"
"708058600","ANN"
"708058600","C++"
"708058600","SSIS"
"708058600","CAD"
"693346100","Computer Science"
"693346100","Statistics"
"693346100","Biology"
"693346100","Testing"
"693346100","C++"
"693346100","Lua"
"693346100","Rust"
"693346100","Data Science"
"693346100","Law"
"693346100","Human Resources "
"693346100","Dance"
"711403600","Engineering"
"711403600","Mathematics"
"711403600","ANN"
"711403600","C++"
"711403600","SSIS"
"711403600","CAD"
"711403600","Earth Science"
"711403600","Electronics"
"710667300","Engineering"
"710667300","Mathematics"
"710667300","Chemistry"
"710667300","Physics"
"710667300","ANN"
"710667300","C++"
"710667300",".NET"
"710667300","Lua"
"710667300","Electronics"
"710667300","Dance"
"710667300","Calculus"
"710667400","Biochemistry"
"710667400","Biology"
"710667400","Chemistry"
"710667400","Physics"
"710667400","Industrial"
"710667400","Genetics"
"710667400","ANN"
"710667400","C++"
"710667400",".NET"
"710667400","Lua"
"710667400","Physiology"
"710667400","Organic Chemistry"
"710667400","Zoology"
"710667400","Dance"
"710667400","Public Health"
"710385500","Research"
"710385500","ANN"
"710385500","C++"
"710385500","AGI"
"708690800","Engineering"
"708690800","Research"
"708690800","Computer Science"
"708690800","Mathematics"
"708690800","Classification"
"708690800","STEM"
"708690800","C++"
"708690800","Lua"
"709012600","Engineering"
"709012600","Research"
"709012600","STEM"
"709012600","ANN"
"709012600","C++"
"709012600","SSIS"
"709012600","Lua"
"709012600","Environmental Science"
"709528100","Engineering"
"709528100","Research"
"709528100","Computer Science"
"709528100","Mathematics"
"709528100","Architecture"
"709528100","Chemistry"
"709528100","Physics"
"709528100","Industrial"
"709528100","ANN"
"709528100","C++"
"709528100","SSIS"
"709528100","CAD"
"709528100","Electronics"
"709528100","Dance"
"709528100","Calculus"
"702071600","Engineering"
"702071600","Testing"
"702071600","STEM"
"702071600","ANN"
"702071600","C++"
"702071600","Lua"
"710640100","Engineering"
"710640100","Research"
"710640100","Computer Science"
"710640100","Mathematics"
"710640100","Classification"
"710640100","STEM"
"710640100","C++"
"710640100","Radar"
"710640100","Lua"
"710953200","Engineering"
"710953200","Computer Science"
"710953200","Classification"
"710953200","STEM"
"710953200","C++"
"710953200","Lua"
"710953200","Electronics"
"703381400","Engineering"
"703381400","Mathematics"
"703381400","Physics"
"703381400","Classification"
"703381400","R"
"703381400","STEM"
"703381400","C++"
"703381400","Radar"
"703381400","Lua"
"697689100","Engineering"
"697689100","Computer Science"
"697689100","Testing"
"697689100","Classification"
"697689100","STEM"
"697689100","C++"
"697689100","Radar"
"697689100","Lua"
"709410700","Engineering"
"709410700","Research"
"709410700","Computer Science"
"709410700","Classification"
"709410700","STEM"
"709410700","C++"
"709410700","Lua"
"710805500","Engineering"
"710805500","Research"
"710805500","Computer Science"
"710805500","Mathematics"
"710805500","Physics"
"710805500","Testing"
"710805500","Classification"
"710805500","STEM"
"710805500","ANN"
"710805500","C++"
"710805500","Lua"
"710805500","Leadership"
"710142100","Research"
"710142100","Chemistry"
"710142100","R"
"710142100","SAS"
"710142100","ANN"
"710142100","C++"
"710142100","Lua"
"710933800","Engineering"
"710933800","Physics"
"710933800","Classification"
"710933800","STEM"
"710933800","C++"
"710933800","Lua"
"710933800","Electronics"
"709317300","Engineering"
"709317300","Computer Science"
"709317300","Architecture"
"709317300","Testing"
"709317300","Classification"
"709317300","STEM"
"709317300","C++"
"709317300","Lua"
"706746900","Engineering"
"706746900","Research"
"706746900","Computer Science"
"706746900","Mathematics"
"706746900","Classification"
"706746900","STEM"
"706746900","C++"
"706746900","Lua"
"681462700","SQL"
"681462700","Computer Science"
"681462700","Classification"
"681462700","STEM"
"681462700","C++"
"681462700","MS SQL"
"681462700","JavaScript"
"681462700",".NET"
"681462700","Lua"
"697044300","Engineering"
"697044300","Research"
"697044300","Mathematics"
"697044300","SAS"
"697044300","ANN"
"697044300","C++"
"697044300","SSIS"
"697044300","Lua"
"697044300","Writing"
"707996000","Chemistry"
"707996000","Physics"
"707996000","Classification"
"707996000","STEM"
"707996000","ANN"
"707996000","C++"
"707996000","Lua"
"707996000","CAD"
"707996000","Earth Science"
"707996000","Dance"
"708544300","Chemistry"
"708544300","Physics"
"708544300","C++"
"708544300","SSIS"
"708544300","Lua"
"708544300","CAD"
"708544300","Earth Science"
"708544300","Writing"
"709511000","Chemistry"
"709511000","Physics"
"709511000","C++"
"709511000","SSIS"
"709511000","Lua"
"709511000","CAD"
"709511000","Earth Science"
"709511000","Writing"
"709516800","Chemistry"
"709516800","Physics"
"709516800","C++"
"709516800","SSIS"
"709516800","Lua"
"709516800","CAD"
"709516800","Earth Science"
"709516800","Writing"
