"","job_id","skill"
"643","526134","Public Health"
"644","526134","HTML"
"645","462030","Research"
"646","462030","Data management"
"647","462030","ANN"
"648","462030","C++"
"649","462030","Project Management"
"650","462030","Public Policy"
"651","550450","Data Analytics"
"652","550450","Engineering"
"653","550450","Python"
"654","550450","SQL"
"655","550450","Tableau"
"656","550450","Computer Science"
"657","550450","Data visualization"
"658","550450","Statistics"
"659","550450","Finance"
"660","550450","STEM"
"661","550450","Excel"
"662","550450","ANN"
"663","550450","C++"
"664","550450","Data Science"
"665","550450","Urban Planning"
"666","550450","API"
"667","552458","Data Analytics"
"668","552458","Python"
"669","552458","SQL"
"670","552458","Tableau"
"671","552458","Computer Science"
"672","552458","Data visualization"
"673","552458","Statistics"
"674","552458","Big Data"
"675","552458","ETL"
"676","552458","NoSQL"
"677","552458","R"
"678","552458","Data Mining"
"679","552458","SAS"
"680","552458","STEM"
"681","552458","Excel"
"682","552458","C++"
"683","552458","Data Warehousing"
"684","552458","RDBMS"
"685","552458","Oracle"
"686","552458","D3"
"687","552458","Communication"
"688","552458","Law"
"689","552458","Data cleaning"
"690","552458","Communication skills"
"691","552458","D3.js"
"692","559206","SQL"
"693","559206","Architecture"
"694","559206","OOP"
"695","559206","C++"
"696","559206","Angular"
"697","559206","JavaScript"
"698","559206",".NET"
"699","559206","REST API"
"700","559206","Lua"
"701","559206","API"
"702","462030","Research"
"703","462030","Data management"
"704","462030","ANN"
"705","462030","C++"
"706","462030","Project Management"
"707","462030","Public Policy"
"708","571453","Research"
"709","571453","STEM"
"710","571453","Excel"
"711","571453","C++"
"712","571453","AGI"
"713","571453","Negotiation"
"714","571453","Project Management"
"715","571453","Procurement"
"716","571453","Communication"
"717","571453","Law"
"718","569134","Data Analytics"
"719","569134","Python"
"720","569134","SQL"
"721","569134","Tableau"
"722","569134","Computer Science"
"723","569134","Data visualization"
"724","569134","Statistics"
"725","569134","Big Data"
"726","569134","ETL"
"727","569134","NoSQL"
"728","569134","R"
"729","569134","Data Mining"
"730","569134","SAS"
"731","569134","STEM"
"732","569134","Excel"
"733","569134","C++"
"734","569134","Data Warehousing"
"735","569134","RDBMS"
"736","569134","Oracle"
"737","569134","D3"
"738","569134","Communication"
"739","569134","Law"
"740","569134","Data cleaning"
"741","569134","Communication skills"
"742","569134","D3.js"
"743","570112","UX"
"744","570112","Architecture"
"745","570112","Security"
"746","570112","Git"
"747","570112","Linux"
"748","570112","Excel"
"749","570112","ANN"
"750","570112","C++"
"751","570112",".NET"
"752","570112","Communication"
"753","570112","Communication skills"
"754","559206","SQL"
"755","559206","Architecture"
"756","559206","OOP"
"757","559206","C++"
"758","559206","Angular"
"759","559206","JavaScript"
"760","559206",".NET"
"761","559206","REST API"
"762","559206","Lua"
"763","559206","API"
"764","563999","Python"
"765","563999","SQL"
"766","563999","Tableau"
"767","563999","Research"
"768","563999","Testing"
"769","563999","R"
"770","563999","SAS"
"771","563999","Excel"
"772","563999","C++"
"773","563999","Statistical modeling"
"774","563999","Clustering"
"775","563999","Communication"
"776","563999","Law"
"777","563999","Time Management"
"778","563999","Decision trees"
"779","563999","Communication skills"
"780","563999","Sampling"
"781","563999","SPSS"
"782","520079","Engineering"
"783","520079","Python"
"784","520079","Machine Learning"
"785","520079","Testing"
"786","520079","Scikit-learn"
"787","520079","Agile"
"788","520079","CI/CD"
"789","520079","R"
"790","520079","Terraform"
"791","520079","C++"
"792","520079","AGI"
"793","520079","CAD"
"794","520079","Web Development"
"795","520079","Data engineering"
"796","570451","Python"
"797","570451","SQL"
"798","570451","Tableau"
"799","570451","Research"
"800","570451","Data visualization"
"801","570451","R"
"802","570451","Power BI"
"803","570451","Excel"
"804","570451","C++"
"805","570451","Communication"
"806","570451","Writing"
"807","570451","Communication skills"
"808","575810","Python"
"809","575810","SQL"
"810","575810","Research"
"811","575810","Data visualization"
"812","575810","Statistics"
"813","575810","R"
"814","575810","SAS"
"815","575810","STEM"
"816","575810","C++"
"817","575810","Communication"
"818","575810","Real Estate"
"819","376049","Excel"
"820","376049","C++"
"821","376049","Communication"
"822","376049","Communication skills"
"823","575810","Python"
"824","575810","SQL"
"825","575810","Research"
"826","575810","Data visualization"
"827","575810","Statistics"
"828","575810","R"
"829","575810","SAS"
"830","575810","STEM"
"831","575810","C++"
"832","575810","Communication"
"833","575810","Real Estate"
"834","576307","Unstructured data"
"835","576307","ANN"
"836","576307","C++"
"837","576307","Project Management"
"838","576307","Teamwork"
"839","576307","Critical thinking"
"840","576307","Problem-solving skills"
"841","576307","Project management skills"
"842","575057","SQL"
"843","575057","Business Intelligence"
"844","575057","STEM"
"845","575057","Excel"
"846","575057","C++"
"847","575057","Communication"
"848","575057","Communication skills"
"849","508616","Excel"
"850","508616","C++"
"851","508616","Project Management"
"852","520079","Engineering"
"853","520079","Python"
"854","520079","Machine Learning"
"855","520079","Testing"
"856","520079","Scikit-learn"
"857","520079","Agile"
"858","520079","CI/CD"
"859","520079","R"
"860","520079","Terraform"
"861","520079","C++"
"862","520079","AGI"
"863","520079","CAD"
"864","520079","Web Development"
"865","520079","Data engineering"
"866","569134","Data Analytics"
"867","569134","Python"
"868","569134","SQL"
"869","569134","Tableau"
"870","569134","Computer Science"
"871","569134","Data visualization"
"872","569134","Statistics"
"873","569134","Big Data"
"874","569134","ETL"
"875","569134","NoSQL"
"876","569134","R"
"877","569134","Data Mining"
"878","569134","SAS"
"879","569134","STEM"
"880","569134","Excel"
"881","569134","C++"
